Index,File,Time,Battery (V),Temperature (C),Comment
0,20230309_070038.WAV,2023-03-09T07:00:38+05:30,4.7,22.3,Recorded at 07:00:38 09/03/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.7V and temperature was 22.3C. Recording stopped due to switch position change.
1,20230309_075723.WAV,2023-03-09T07:57:23+05:30,4.7,23.7,Recorded at 07:57:23 09/03/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.7V and temperature was 23.7C. Recording stopped due to switch position change.
2,20230310_075739.WAV,2023-03-10T07:57:39+05:30,4.7,25.0,Recorded at 07:57:39 10/03/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.7V and temperature was 25.0C. Recording stopped due to switch position change.
3,20230311_075605.WAV,2023-03-11T07:56:05+05:30,4.7,24.7,Recorded at 07:56:05 11/03/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.7V and temperature was 24.7C. Recording stopped due to switch position change.
4,20230311_085708.WAV,2023-03-11T08:57:08+05:30,4.7,45.5,Recorded at 08:57:08 11/03/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.7V and temperature was 45.5C. Recording stopped due to switch position change.
5,20230321_065555.WAV,2023-03-21T06:55:55+05:30,4.6,27.2,Recorded at 06:55:55 21/03/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.6V and temperature was 27.2C. Recording stopped due to switch position change.
6,20230321_075802.WAV,2023-03-21T07:58:02+05:30,4.6,23.7,Recorded at 07:58:02 21/03/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.6V and temperature was 23.7C. Recording stopped due to switch position change.
7,20230323_065841.WAV,2023-03-23T06:58:41+05:30,4.6,24.7,Recorded at 06:58:41 23/03/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.6V and temperature was 24.7C. Recording stopped due to switch position change.
8,20230324_070043.WAV,2023-03-24T07:00:43+05:30,4.6,25.0,Recorded at 07:00:43 24/03/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.6V and temperature was 25.0C. Recording stopped due to switch position change.
9,20230411_070055.WAV,2023-04-11T07:00:55+05:30,4.5,26.3,Recorded at 07:00:55 11/04/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.5V and temperature was 26.3C. Recording stopped due to switch position change.
10,20230412_070223.WAV,2023-04-12T07:02:23+05:30,4.5,26.9,Recorded at 07:02:23 12/04/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.5V and temperature was 26.9C. Recording stopped due to switch position change.
11,20230413_065745.WAV,2023-04-13T06:57:45+05:30,4.5,25.8,Recorded at 06:57:45 13/04/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.5V and temperature was 25.8C. Recording stopped due to switch position change.
12,20230425_065840.WAV,2023-04-25T06:58:40+05:30,4.5,27.9,Recorded at 06:58:40 25/04/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.5V and temperature was 27.9C. Recording stopped due to switch position change.
13,20230426_065724.WAV,2023-04-26T06:57:24+05:30,4.5,26.6,Recorded at 06:57:24 26/04/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.5V and temperature was 26.6C. Recording stopped due to switch position change.
14,20230427_070124.WAV,2023-04-27T07:01:24+05:30,4.4,27.7,Recorded at 07:01:24 27/04/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.4V and temperature was 27.7C. Recording stopped due to switch position change.
15,20230524_070413.WAV,2023-05-24T07:04:13+05:30,4.4,26.9,Recorded at 07:04:13 24/05/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.4V and temperature was 26.9C. Recording stopped due to switch position change.
16,20230525_065644.WAV,2023-05-25T06:56:44+05:30,4.4,26.4,Recorded at 06:56:44 25/05/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.4V and temperature was 26.4C. Recording stopped due to switch position change.
17,20230526_065727.WAV,2023-05-26T06:57:27+05:30,4.4,26.4,Recorded at 06:57:27 26/05/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.4V and temperature was 26.4C. Recording stopped due to switch position change.
18,20230530_070526.WAV,2023-05-30T07:05:26+05:30,4.4,26.9,Recorded at 07:05:26 30/05/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.4V and temperature was 26.9C. Recording stopped due to switch position change.
19,20230606_065632.WAV,2023-06-06T06:56:32+05:30,4.3,27.5,Recorded at 06:56:32 06/06/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.3V and temperature was 27.5C. Recording stopped due to switch position change.
20,20230608_065255.WAV,2023-06-08T06:52:55+05:30,4.3,27.2,Recorded at 06:52:55 08/06/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.3V and temperature was 27.2C. Recording stopped due to switch position change.
21,20230609_065920.WAV,2023-06-09T06:59:20+05:30,4.4,27.4,Recorded at 06:59:20 09/06/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.4V and temperature was 27.4C. Recording stopped due to switch position change.
