,common name,datasheet,false negative,true positive,false positive,birdnet,union
0,common tailorbird,126,105,21,4,25,130
1,white throated kingfisher,13,13,0,3,3,16
2,brown shrike,1,1,0,0,0,1
3,black drongo,4,4,0,0,0,4
4,white cheeked barbet,163,154,9,0,9,163
5,brown cheeked fulvetta,0,0,0,1,1,1
6,india pitta,1,1,0,0,0,1
7,indian blue robin,19,19,0,0,0,19
8,common crow,1,1,0,0,0,1
9,barn owl,0,0,0,6,6,6
10,indian paradise flycatcher,7,7,0,0,0,7
11,green warbler,13,8,5,2,7,15
12,asian koel,90,87,3,2,5,92
13,blythes reed warbler,11,11,0,0,0,11
14,asian brown flycatcher,1,1,0,0,0,1
15,white browed bulbul,38,36,2,0,2,38
16,purple rumped sunbird,82,58,24,2,26,84
17,white breasted waterhen,1,1,0,0,0,1
18,ornate sunbird,1,1,0,0,0,1
19,indian roller,0,0,0,1,1,1
20,rufous treepie,0,0,0,1,1,1
21,lottens sunbird,21,21,0,0,0,21
22,plain prinia,1,1,0,0,0,1
23,indian white eye,57,56,1,2,3,59
24,flame throated bulbul,0,0,0,3,3,3
25,black naped oriole,3,3,0,0,0,3
26,common greenshank,0,0,0,1,1,1
27,booted warbler,9,9,0,0,0,9
28,purple sunbird,10,10,0,0,0,10
29,red whiskered bulbul,130,116,14,0,14,130
30,oriental magpie robin,137,124,13,1,14,138
31,indian peafowl,10,10,0,0,0,10
32,coppersmith barbet,16,16,0,0,0,16
33,booted eagle,2,2,0,0,0,2
34,shikra,32,28,4,1,5,33
35,great cormorant,1,1,0,0,0,1
36,ashy prinia,53,31,22,8,30,61
37,oriental white eyes,4,4,0,0,0,4
38,gray breasted prinia,0,0,0,1,1,1
39,cinereous tit,0,0,0,9,9,9
40,gray junglefowl,0,0,0,1,1,1
41,white breasted kingfisher,2,2,0,0,0,2
42,indian pond heron,5,5,0,0,0,5
43,greenish warbler,24,21,3,0,3,24
44,spotted dove,21,21,0,0,0,21
45,black kite,96,71,25,1,26,97
46,jungle myna,59,59,0,1,1,60
47,cinerous tit,49,49,0,0,0,49
48,small minivet,5,2,3,4,7,9
49,western crowned warbler,5,5,0,0,0,5
50,greater coucal,52,52,0,0,0,52
51,spot breasted fantail,2,2,0,0,0,2
52,blyths reed warbler,0,0,0,1,1,1
53,rose ringed parakeet,147,120,27,5,32,152
54,brahminy kite,1,1,0,0,0,1
55,golden oriole,2,2,0,0,0,2
56,tickells blue flycatcher,36,27,9,3,12,39
57,pale billed flowerpecker,60,53,7,2,9,62
58,stork billed kingfisher,0,0,0,1,1,1
59,grey wagtail,2,2,0,0,0,2
60,ashy drongo,7,7,0,0,0,7
61,large billed crow,194,194,0,0,0,194
62,scaly breasted munia,10,10,0,0,0,10
63,yellow billed babbler,6,6,0,4,4,10
64,common myna,103,95,8,0,8,103
65,rofous treepie,15,15,0,0,0,15
