,common name,datasheet,false negative,true positive,false positive,birdnet,union
0,indian peafowl,10,10,0,0,0,10
1,terek sandpiper,0,0,0,1,1,1
2,india pitta,1,1,0,0,0,1
3,red naped ibis,0,0,0,6,6,6
4,cinerous tit,49,49,0,0,0,49
5,gray wagtail,0,0,0,6,6,6
6,indian roller,0,0,0,1,1,1
7,white cheeked barbet,163,141,22,1,23,164
8,crimson backed sunbird,0,0,0,5,5,5
9,house crow,0,0,0,2,2,2
10,indian white eye,57,46,11,5,16,62
11,grey wagtail,2,2,0,0,0,2
12,ornate sunbird,1,1,0,0,0,1
13,common myna,103,89,14,1,15,104
14,greenish warbler,24,17,7,2,9,26
15,purple rumped sunbird,82,39,43,9,52,91
16,pale billed flowerpecker,60,49,11,12,23,72
17,golden oriole,2,2,0,0,0,2
18,golden fronted leafbird,0,0,0,1,1,1
19,black kite,96,64,32,7,39,103
20,purple sunbird,10,10,0,1,1,11
21,small minivet,5,1,4,7,11,12
22,common tailorbird,126,69,57,26,83,152
23,indian paradise flycatcher,7,7,0,0,0,7
24,white throated kingfisher,13,11,2,5,7,18
25,western crowned warbler,5,5,0,0,0,5
26,booted eagle,2,2,0,0,0,2
27,eurasian moorhen,0,0,0,1,1,1
28,asian koel,90,79,11,4,15,94
29,spot breasted fantail,2,2,0,3,3,5
30,cinereous tit,0,0,0,16,16,16
31,brahminy kite,1,1,0,0,0,1
32,orange minivet,0,0,0,5,5,5
33,black headed cuckooshrike,0,0,0,1,1,1
34,plain prinia,1,1,0,0,0,1
35,common greenshank,0,0,0,3,3,3
36,ashy prinia,53,23,30,11,41,64
37,scaly breasted munia,10,10,0,0,0,10
38,indian pond heron,5,5,0,0,0,5
39,ashy drongo,7,7,0,0,0,7
40,white breasted waterhen,1,1,0,0,0,1
41,indian blue robin,19,19,0,0,0,19
42,white browed bulbul,38,27,11,2,13,40
43,gray junglefowl,0,0,0,12,12,12
44,greater coucal,52,49,3,0,3,52
45,red whiskered bulbul,130,83,47,5,52,135
46,plum headed parakeet,0,0,0,1,1,1
47,taiga flycatcher,0,0,0,1,1,1
48,black drongo,4,4,0,0,0,4
49,gray heron,0,0,0,1,1,1
50,zitting cisticola,0,0,0,1,1,1
51,blythes reed warbler,11,11,0,0,0,11
52,indian robin,0,0,0,1,1,1
53,yellow throated bulbul,0,0,0,3,3,3
54,oriental magpie robin,137,101,36,7,43,144
55,rufous treepie,0,0,0,5,5,5
56,lottens sunbird,21,21,0,0,0,21
57,tickells blue flycatcher,36,23,13,6,19,42
58,great cormorant,1,1,0,0,0,1
59,booted warbler,9,9,0,0,0,9
60,flame throated bulbul,0,0,0,18,18,18
61,oriental white eyes,4,4,0,0,0,4
62,white breasted kingfisher,2,2,0,0,0,2
63,indian gray hornbill,0,0,0,9,9,9
64,indian yellow tit,0,0,0,1,1,1
65,shikra,32,22,10,2,12,34
66,yellow billed babbler,6,6,0,22,22,28
67,indian silverbill,0,0,0,1,1,1
68,common crow,1,1,0,0,0,1
69,large billed crow,194,189,5,1,6,195
70,rose ringed parakeet,147,83,64,16,80,163
71,orange headed thrush,0,0,0,2,2,2
72,common hawk cuckoo,0,0,0,2,2,2
73,western yellow wagtail,0,0,0,1,1,1
74,stork billed kingfisher,0,0,0,8,8,8
75,gray breasted prinia,0,0,0,6,6,6
76,black naped oriole,3,3,0,0,0,3
77,green warbler,13,7,6,7,13,20
78,jungle myna,59,58,1,6,7,65
79,rofous treepie,15,15,0,0,0,15
80,lotens sunbird,0,0,0,4,4,4
81,coppersmith barbet,16,16,0,0,0,16
82,spotted dove,21,21,0,0,0,21
83,brown cheeked fulvetta,0,0,0,5,5,5
84,brown shrike,1,1,0,0,0,1
85,alexandrine parakeet,0,0,0,1,1,1
86,jerdons bushlark,0,0,0,1,1,1
87,blyths reed warbler,0,0,0,2,2,2
88,barn owl,0,0,0,19,19,19
89,osprey,0,0,0,1,1,1
90,asian brown flycatcher,1,1,0,0,0,1
