,Location,Weather,Temperature,Date,Time,Names,No. of individuals seen,No. of individuals heard,No. of individuals seen and heard,Comments,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,codes
0,B7,cloudy,,2024-05-23,07:00:00,black kite,0,1,0,,,,,,,,,,0
1,B7,cloudy,,2024-05-23,07:00:00,large billed crow,0,0,2,,,,,,,,,,0
2,B7,cloudy,,2024-05-23,07:00:00,common tailorbird,0,1,0,,,,,,,,,,0
3,B7,cloudy,,2024-05-23,07:00:00,white cheeked barbet,0,2,0,,,,,,,,,,0
4,B7,cloudy,,2024-05-23,07:00:00,common myna,0,1,0,,,,,,,,,,0
5,B7,cloudy,,2024-05-23,07:00:00,jungle myna,0,1,0,,,,,,,,,,0
6,B7,cloudy,,2024-05-23,07:00:00,greater coucal,0,1,0,,,,,,,,,,0
7,B7,cloudy,,2024-05-23,07:01:00,large billed crow,0,3,0,,,,,,,,,,1
8,B7,cloudy,,2024-05-23,07:01:00,white cheeked barbet,0,2,0,,,,,,,,,,1
9,B7,cloudy,,2024-05-23,07:01:00,common myna,0,2,0,,,,,,,,,,1
10,B7,cloudy,,2024-05-23,07:01:00,black kite,0,1,0,,,,,,,,,,1
11,B7,cloudy,,2024-05-23,07:01:00,asian koel,0,1,0,,,,,,,,,,1
12,B7,cloudy,,2024-05-23,07:02:00,pale billed flowerpecker,0,2,0,,,,,,,,,,2
13,B7,cloudy,,2024-05-23,07:02:00,large billed crow,0,2,0,,,,,,,,,,2
14,B7,cloudy,,2024-05-23,07:02:00,jungle myna,0,1,0,,,,,,,,,,2
15,B7,cloudy,,2024-05-23,07:02:00,common myna,0,2,0,,,,,,,,,,2
16,B7,cloudy,,2024-05-23,07:02:00,white cheeked barbet,0,2,0,,,,,,,,,,2
17,B7,cloudy,,2024-05-23,07:02:00,oriental magpie robin,0,1,0,,,,,,,,,,2
18,B7,cloudy,,2024-05-23,07:02:00,tickells blue flycatcher,0,1,0,,,,,,,,,,2
