,name,date,time code,loc,wea
0,large billed crow,20240523,0,B7,cloudy
1,pale billed flowerpecker,20240523,4,B7,cloudy
2,rose ringed parakeet,20240523,5,B7,cloudy
3,large billed crow,20240523,6,B7,cloudy
4,large billed crow,20240523,7,B7,cloudy
5,asian koel,20240523,7,B7,cloudy
6,large billed crow,20240523,8,B7,cloudy
7,asian koel,20240523,9,B7,cloudy
8,large billed crow,20240523,9,B7,cloudy
9,large billed crow,20240523,10,B7,cloudy
10,rose ringed parakeet,20240523,10,B7,cloudy
11,large billed crow,20240523,11,B7,cloudy
12,large billed crow,20240523,12,B7,cloudy
13,large billed crow,20240523,14,B7,cloudy
14,large billed crow,20240523,15,B7,cloudy
15,large billed crow,20240523,20,B7,cloudy
16,pale billed flowerpecker,20240523,20,B7,cloudy
17,large billed crow,20240523,22,B7,cloudy
18,large billed crow,20240523,23,B7,cloudy
19,common myna,20240523,23,B7,cloudy
20,black kite,20240523,27,B7,cloudy
21,large billed crow,20240523,29,B7,cloudy
22,large billed crow,20240523,30,B7,cloudy
23,oriental magpie robin,20240523,33,B7,cloudy
24,large billed crow,20240523,33,B7,cloudy
25,oriental magpie robin,20240523,34,B7,cloudy
26,large billed crow,20240523,34,B7,cloudy
27,large billed crow,20240523,35,B7,cloudy
28,asian koel,20240523,35,B7,cloudy
29,large billed crow,20240523,40,B7,cloudy
30,large billed crow,20240523,41,B7,cloudy
31,large billed crow,20240523,42,B7,cloudy
32,large billed crow,20240523,43,B7,cloudy
33,tickells blue flycatcher,20240523,43,B7,cloudy
34,common tailorbird,20240523,43,B7,cloudy
35,common myna,20240523,43,B7,cloudy
36,tickells blue flycatcher,20240523,45,B7,cloudy
37,tickells blue flycatcher,20240523,48,B7,cloudy
38,tickells blue flycatcher,20240523,49,B7,cloudy
39,cinerous tit,20240523,50,B7,cloudy
40,cinerous tit,20240523,51,B7,cloudy
41,tickells blue flycatcher,20240523,51,B7,cloudy
42,tickells blue flycatcher,20240523,52,B7,cloudy
43,cinerous tit,20240523,53,B7,cloudy
44,cinerous tit,20240523,53,B7,cloudy
45,cinerous tit,20240523,54,B7,cloudy
46,tickells blue flycatcher,20240523,55,B7,cloudy
47,large billed crow,20240522,0,Rocks ,sunny
48,rose ringed parakeet,20240522,0,Rocks ,sunny
49,red whiskered bulbul,20240522,0,Rocks ,sunny
50,red whiskered bulbul,20240522,1,Rocks ,sunny
51,black kite,20240522,1,Rocks ,sunny
52,red whiskered bulbul,20240522,2,Rocks ,sunny
53,plum headed parakeet,20240522,2,Rocks ,sunny
54,large billed crow,20240522,3,Rocks ,sunny
55,purple rumped sunbird,20240522,3,Rocks ,sunny
56,black kite,20240522,4,Rocks ,sunny
57,rose ringed parakeet,20240522,4,Rocks ,sunny
58,red whiskered bulbul,20240522,4,Rocks ,sunny
59,large billed crow,20240522,4,Rocks ,sunny
60,red whiskered bulbul,20240522,5,Rocks ,sunny
61,pale billed flowerpecker,20240522,5,Rocks ,sunny
62,black kite,20240522,5,Rocks ,sunny
63,rose ringed parakeet,20240522,5,Rocks ,sunny
64,purple rumped sunbird,20240522,6,Rocks ,sunny
65,ashy prinia,20240522,6,Rocks ,sunny
66,purple rumped sunbird,20240522,7,Rocks ,sunny
67,ashy prinia,20240522,7,Rocks ,sunny
68,red whiskered bulbul,20240522,7,Rocks ,sunny
69,pale billed flowerpecker,20240522,8,Rocks ,sunny
70,ashy prinia,20240522,9,Rocks ,sunny
71,pale billed flowerpecker,20240522,9,Rocks ,sunny
72,rose ringed parakeet,20240522,9,Rocks ,sunny
73,rose ringed parakeet,20240522,10,Rocks ,sunny
74,ashy prinia,20240522,10,Rocks ,sunny
75,rose ringed parakeet,20240522,11,Rocks ,sunny
76,black kite,20240522,11,Rocks ,sunny
77,oriental magpie robin,20240522,11,Rocks ,sunny
78,rose ringed parakeet,20240522,12,Rocks ,sunny
79,oriental magpie robin,20240522,12,Rocks ,sunny
80,ashy prinia,20240522,13,Rocks ,sunny
81,rose ringed parakeet,20240522,14,Rocks ,sunny
82,oriental magpie robin,20240522,14,Rocks ,sunny
83,oriental magpie robin,20240522,15,Rocks ,sunny
