,name,date,time code,loc,wea,datetimelabel
0,black kite,20240523,0,B7,cloudy,20240523_0
1,common tailorbird,20240523,0,B7,cloudy,20240523_0
2,white cheeked barbet,20240523,0,B7,cloudy,20240523_0
3,common myna,20240523,0,B7,cloudy,20240523_0
4,jungle myna,20240523,0,B7,cloudy,20240523_0
5,greater coucal,20240523,0,B7,cloudy,20240523_0
6,large billed crow,20240523,1,B7,cloudy,20240523_1
7,white cheeked barbet,20240523,1,B7,cloudy,20240523_1
8,common myna,20240523,1,B7,cloudy,20240523_1
9,black kite,20240523,1,B7,cloudy,20240523_1
10,asian koel,20240523,1,B7,cloudy,20240523_1
11,pale billed flowerpecker,20240523,2,B7,cloudy,20240523_2
12,large billed crow,20240523,2,B7,cloudy,20240523_2
13,jungle myna,20240523,2,B7,cloudy,20240523_2
14,common myna,20240523,2,B7,cloudy,20240523_2
15,white cheeked barbet,20240523,2,B7,cloudy,20240523_2
16,oriental magpie robin,20240523,2,B7,cloudy,20240523_2
17,tickells blue flycatcher,20240523,2,B7,cloudy,20240523_2
18,oriental magpie robin,20240523,3,B7,cloudy,20240523_3
19,asian koel,20240523,3,B7,cloudy,20240523_3
20,pale billed flowerpecker,20240523,3,B7,cloudy,20240523_3
21,common myna,20240523,3,B7,cloudy,20240523_3
22,tickells blue flycatcher,20240523,3,B7,cloudy,20240523_3
23,large billed crow,20240523,3,B7,cloudy,20240523_3
24,white cheeked barbet,20240523,3,B7,cloudy,20240523_3
25,asian koel,20240523,4,B7,cloudy,20240523_4
26,large billed crow,20240523,4,B7,cloudy,20240523_4
27,rose ringed parakeet,20240523,4,B7,cloudy,20240523_4
28,oriental magpie robin,20240523,4,B7,cloudy,20240523_4
29,white cheeked barbet,20240523,5,B7,cloudy,20240523_5
30,large billed crow,20240523,5,B7,cloudy,20240523_5
31,black kite,20240523,5,B7,cloudy,20240523_5
32,common myna,20240523,5,B7,cloudy,20240523_5
33,common myna,20240523,6,B7,cloudy,20240523_6
34,greater coucal,20240523,6,B7,cloudy,20240523_6
35,jungle myna,20240523,6,B7,cloudy,20240523_6
36,common tailorbird,20240523,6,B7,cloudy,20240523_6
37,tickells blue flycatcher,20240523,7,B7,cloudy,20240523_7
38,black kite,20240523,8,B7,cloudy,20240523_8
39,common myna,20240523,8,B7,cloudy,20240523_8
40,red whiskered bulbul,20240523,8,B7,cloudy,20240523_8
41,oriental magpie robin,20240523,8,B7,cloudy,20240523_8
42,asian koel,20240523,9,B7,cloudy,20240523_9
43,white cheeked barbet,20240523,9,B7,cloudy,20240523_9
44,common myna,20240523,9,B7,cloudy,20240523_9
45,common tailorbird,20240523,9,B7,cloudy,20240523_9
46,black kite,20240523,10,B7,cloudy,20240523_10
47,cinerous tit,20240523,10,B7,cloudy,20240523_10
48,white cheeked barbet,20240523,10,B7,cloudy,20240523_10
49,common myna,20240523,10,B7,cloudy,20240523_10
50,jungle myna,20240523,10,B7,cloudy,20240523_10
51,oriental magpie robin,20240523,11,B7,cloudy,20240523_11
52,common myna,20240523,11,B7,cloudy,20240523_11
53,jungle myna,20240523,11,B7,cloudy,20240523_11
54,common myna,20240523,12,B7,cloudy,20240523_12
55,black kite,20240523,12,B7,cloudy,20240523_12
56,pale billed flowerpecker,20240523,12,B7,cloudy,20240523_12
57,black kite,20240523,13,B7,cloudy,20240523_13
58,common tailorbird,20240523,13,B7,cloudy,20240523_13
59,asian koel,20240523,13,B7,cloudy,20240523_13
60,white cheeked barbet,20240523,13,B7,cloudy,20240523_13
61,common myna,20240523,13,B7,cloudy,20240523_13
62,purple rumped sunbird,20240523,14,B7,cloudy,20240523_14
63,white cheeked barbet,20240523,14,B7,cloudy,20240523_14
64,asian koel,20240523,14,B7,cloudy,20240523_14
65,black kite,20240523,14,B7,cloudy,20240523_14
66,rose ringed parakeet,20240523,14,B7,cloudy,20240523_14
67,common myna,20240523,15,B7,cloudy,20240523_15
68,white cheeked barbet,20240523,15,B7,cloudy,20240523_15
69,oriental magpie robin,20240523,20,B7,cloudy,20240523_20
70,purple rumped sunbird,20240523,20,B7,cloudy,20240523_20
71,common myna,20240523,20,B7,cloudy,20240523_20
72,asian koel,20240523,20,B7,cloudy,20240523_20
73,white cheeked barbet,20240523,21,B7,cloudy,20240523_21
74,asian koel,20240523,21,B7,cloudy,20240523_21
75,large billed crow,20240523,21,B7,cloudy,20240523_21
76,spotted owlet,20240523,21,B7,cloudy,20240523_21
77,rose ringed parakeet,20240523,22,B7,cloudy,20240523_22
78,coppersmith barbet,20240523,22,B7,cloudy,20240523_22
79,asian koel,20240523,22,B7,cloudy,20240523_22
80,purple rumped sunbird,20240523,23,B7,cloudy,20240523_23
81,red whiskered bulbul,20240523,23,B7,cloudy,20240523_23
82,pale billed flowerpecker,20240523,23,B7,cloudy,20240523_23
83,jungle myna,20240523,23,B7,cloudy,20240523_23
84,red whiskered bulbul,20240523,24,B7,cloudy,20240523_24
85,purple rumped sunbird,20240523,24,B7,cloudy,20240523_24
86,asian koel,20240523,24,B7,cloudy,20240523_24
87,white cheeked barbet,20240523,24,B7,cloudy,20240523_24
88,rose ringed parakeet,20240523,25,B7,cloudy,20240523_25
89,asian koel,20240523,25,B7,cloudy,20240523_25
90,white cheeked barbet,20240523,25,B7,cloudy,20240523_25
91,common myna,20240523,25,B7,cloudy,20240523_25
92,red whiskered bulbul,20240523,25,B7,cloudy,20240523_25
93,greater coucal,20240523,26,B7,cloudy,20240523_26
