,name,date,time code,loc,wea,datetimelabel
0,asian koel,20240523,7,B7,cloudy,20240523_7
1,asian koel,20240523,35,B7,cloudy,20240523_35
2,common tailorbird,20240523,43,B7,cloudy,20240523_43
3,cinerous tit,20240523,51,B7,cloudy,20240523_51
4,tickells blue flycatcher,20240523,51,B7,cloudy,20240523_51
5,tickells blue flycatcher,20240523,55,B7,cloudy,20240523_55
6,red whiskered bulbul,20240522,0,Rocks ,sunny,20240522_0
7,black kite,20240522,1,Rocks ,sunny,20240522_1
8,black kite,20240522,4,Rocks ,sunny,20240522_4
9,black kite,20240522,5,Rocks ,sunny,20240522_5
10,red whiskered bulbul,20240522,7,Rocks ,sunny,20240522_7
11,black kite,20240522,11,Rocks ,sunny,20240522_11
12,ashy prinia,20240522,13,Rocks ,sunny,20240522_13
13,coppersmith barbet,20240522,15,Rocks ,sunny,20240522_15
14,yellow billed babbler,20240522,22,Rocks ,sunny,20240522_22
15,white cheeked barbet,20240522,25,Rocks ,sunny,20240522_25
16,black kite,20240522,29,Rocks ,sunny,20240522_29
17,greater coucal,20240522,41,Rocks ,sunny,20240522_41
18,red whiskered bulbul,20240522,48,Rocks ,sunny,20240522_48
19,ashy prinia,20240522,48,Rocks ,sunny,20240522_48
20,oriental magpie robin,20240522,51,Rocks ,sunny,20240522_51
21,red whiskered bulbul,20240522,52,Rocks ,sunny,20240522_52
22,oriental magpie robin,20240522,52,Rocks ,sunny,20240522_52
23,ashy prinia,20240522,52,Rocks ,sunny,20240522_52
24,red whiskered bulbul,20240522,53,Rocks ,sunny,20240522_53
25,oriental magpie robin,20240522,55,Rocks ,sunny,20240522_55
26,red whiskered bulbul,20240510,0,Rocks,cloudy,20240510_0
27,rose ringed parakeet,20240510,1,Rocks,cloudy,20240510_1
28,coppersmith barbet,20240510,5,Rocks,cloudy,20240510_5
29,ashy prinia,20240510,7,Rocks,cloudy,20240510_7
30,oriental magpie robin,20240510,8,Rocks,cloudy,20240510_8
31,white cheeked barbet,20240510,11,Rocks,cloudy,20240510_11
32,white cheeked barbet,20240510,12,Rocks,cloudy,20240510_12
33,black kite,20240510,14,Rocks,cloudy,20240510_14
34,large billed crow,20240510,15,Rocks,cloudy,20240510_15
35,red whiskered bulbul,20240510,20,Rocks,cloudy,20240510_20
36,spotted dove,20240510,20,Rocks,cloudy,20240510_20
37,rose ringed parakeet,20240510,21,Rocks,cloudy,20240510_21
38,black kite,20240510,21,Rocks,cloudy,20240510_21
39,red whiskered bulbul,20240510,21,Rocks,cloudy,20240510_21
40,white cheeked barbet,20240510,21,Rocks,cloudy,20240510_21
41,cinerous tit,20240510,24,Rocks,cloudy,20240510_24
42,spotted dove,20240510,25,Rocks,cloudy,20240510_25
43,lottens sunbird,20240510,25,Rocks,cloudy,20240510_25
44,indian paradise flycatcher,20240510,25,Rocks,cloudy,20240510_25
45,spotted dove,20240510,25,Rocks,cloudy,20240510_25
46,spotted dove,20240510,27,Rocks,cloudy,20240510_27
