,name,date,time code,loc,wea,datetimelabel
0,large billed crow,20240523,0,B7,cloudy,20240523_0
1,pale billed flowerpecker,20240523,4,B7,cloudy,20240523_4
2,rose ringed parakeet,20240523,5,B7,cloudy,20240523_5
3,large billed crow,20240523,6,B7,cloudy,20240523_6
4,large billed crow,20240523,7,B7,cloudy,20240523_7
5,asian koel,20240523,7,B7,cloudy,20240523_7
6,large billed crow,20240523,8,B7,cloudy,20240523_8
7,asian koel,20240523,9,B7,cloudy,20240523_9
8,large billed crow,20240523,9,B7,cloudy,20240523_9
9,large billed crow,20240523,10,B7,cloudy,20240523_10
10,rose ringed parakeet,20240523,10,B7,cloudy,20240523_10
11,large billed crow,20240523,11,B7,cloudy,20240523_11
12,large billed crow,20240523,12,B7,cloudy,20240523_12
13,large billed crow,20240523,14,B7,cloudy,20240523_14
14,large billed crow,20240523,15,B7,cloudy,20240523_15
15,large billed crow,20240523,20,B7,cloudy,20240523_20
16,pale billed flowerpecker,20240523,20,B7,cloudy,20240523_20
17,large billed crow,20240523,22,B7,cloudy,20240523_22
18,large billed crow,20240523,23,B7,cloudy,20240523_23
19,common myna,20240523,23,B7,cloudy,20240523_23
20,black kite,20240523,27,B7,cloudy,20240523_27
21,large billed crow,20240523,29,B7,cloudy,20240523_29
22,large billed crow,20240523,30,B7,cloudy,20240523_30
23,oriental magpie robin,20240523,33,B7,cloudy,20240523_33
24,large billed crow,20240523,33,B7,cloudy,20240523_33
25,oriental magpie robin,20240523,34,B7,cloudy,20240523_34
26,large billed crow,20240523,34,B7,cloudy,20240523_34
27,large billed crow,20240523,35,B7,cloudy,20240523_35
28,asian koel,20240523,35,B7,cloudy,20240523_35
29,large billed crow,20240523,40,B7,cloudy,20240523_40
30,large billed crow,20240523,41,B7,cloudy,20240523_41
31,large billed crow,20240523,42,B7,cloudy,20240523_42
32,large billed crow,20240523,43,B7,cloudy,20240523_43
33,tickells blue flycatcher,20240523,43,B7,cloudy,20240523_43
34,common tailorbird,20240523,43,B7,cloudy,20240523_43
35,common myna,20240523,43,B7,cloudy,20240523_43
36,tickells blue flycatcher,20240523,45,B7,cloudy,20240523_45
37,tickells blue flycatcher,20240523,48,B7,cloudy,20240523_48
38,tickells blue flycatcher,20240523,49,B7,cloudy,20240523_49
39,cinerous tit,20240523,50,B7,cloudy,20240523_50
40,cinerous tit,20240523,51,B7,cloudy,20240523_51
41,tickells blue flycatcher,20240523,51,B7,cloudy,20240523_51
42,tickells blue flycatcher,20240523,52,B7,cloudy,20240523_52
43,cinerous tit,20240523,53,B7,cloudy,20240523_53
44,cinerous tit,20240523,53,B7,cloudy,20240523_53
45,cinerous tit,20240523,54,B7,cloudy,20240523_54
46,tickells blue flycatcher,20240523,55,B7,cloudy,20240523_55
47,large billed crow,20240522,0,Rocks ,sunny,20240522_0
48,rose ringed parakeet,20240522,0,Rocks ,sunny,20240522_0
49,red whiskered bulbul,20240522,0,Rocks ,sunny,20240522_0
50,red whiskered bulbul,20240522,1,Rocks ,sunny,20240522_1
51,black kite,20240522,1,Rocks ,sunny,20240522_1
52,red whiskered bulbul,20240522,2,Rocks ,sunny,20240522_2
53,plum headed parakeet,20240522,2,Rocks ,sunny,20240522_2
54,large billed crow,20240522,3,Rocks ,sunny,20240522_3
55,purple rumped sunbird,20240522,3,Rocks ,sunny,20240522_3
56,black kite,20240522,4,Rocks ,sunny,20240522_4
57,rose ringed parakeet,20240522,4,Rocks ,sunny,20240522_4
58,red whiskered bulbul,20240522,4,Rocks ,sunny,20240522_4
59,large billed crow,20240522,4,Rocks ,sunny,20240522_4
60,red whiskered bulbul,20240522,5,Rocks ,sunny,20240522_5
61,pale billed flowerpecker,20240522,5,Rocks ,sunny,20240522_5
62,black kite,20240522,5,Rocks ,sunny,20240522_5
63,rose ringed parakeet,20240522,5,Rocks ,sunny,20240522_5
64,purple rumped sunbird,20240522,6,Rocks ,sunny,20240522_6
65,ashy prinia,20240522,6,Rocks ,sunny,20240522_6
66,purple rumped sunbird,20240522,7,Rocks ,sunny,20240522_7
67,ashy prinia,20240522,7,Rocks ,sunny,20240522_7
68,red whiskered bulbul,20240522,7,Rocks ,sunny,20240522_7
69,pale billed flowerpecker,20240522,8,Rocks ,sunny,20240522_8
70,ashy prinia,20240522,9,Rocks ,sunny,20240522_9
71,pale billed flowerpecker,20240522,9,Rocks ,sunny,20240522_9
72,rose ringed parakeet,20240522,9,Rocks ,sunny,20240522_9
73,rose ringed parakeet,20240522,10,Rocks ,sunny,20240522_10
74,ashy prinia,20240522,10,Rocks ,sunny,20240522_10
75,rose ringed parakeet,20240522,11,Rocks ,sunny,20240522_11
76,black kite,20240522,11,Rocks ,sunny,20240522_11
77,oriental magpie robin,20240522,11,Rocks ,sunny,20240522_11
78,rose ringed parakeet,20240522,12,Rocks ,sunny,20240522_12
79,oriental magpie robin,20240522,12,Rocks ,sunny,20240522_12
80,ashy prinia,20240522,13,Rocks ,sunny,20240522_13
81,rose ringed parakeet,20240522,14,Rocks ,sunny,20240522_14
